architecture,base_beta,case,clean_result,config,config_sha256,epochs,injected_beta,scheme,seed,sigma,status,target,collected_result,best_validation_percent,final_validation_percent,best_drop_pp,final_drop_pp,noise_stream_group,pack_directory,previous_planned_target,replaces_pack_directory
conv2,0.625,RN_conv2_ours_sigma1em5_seed0,paper_ready_results/bundles/table2_wide_ep/conv2/ours/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv2_ours_sigma1em5_seed0.json,f32208cc104bc776afe2bc942ee9738e7b2903c5beaf6f6f0d3f36577d024b27,30,10.0,ours,0,1e-05,complete_collected_validated,akibscomputer,bundles/read_noise_20260914/conv2/ours/sigma_1e-05/seed0/result.json,98.12,98.08,-0.02,-0.06,rtx3080_torch2.5.1_cuda12.1,production/continuation_20260915/akibscomputer/03_RN_conv2_ours_sigma1em5_seed0,,
conv2,0.625,RN_conv2_ours_sigma3em5_seed0,paper_ready_results/bundles/table2_wide_ep/conv2/ours/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv2_ours_sigma3em5_seed0.json,4c7a8d687749147c877ec9f149e4bfe4c318f3cd0955137fee882e6bb099dc66,30,10.0,ours,0,3e-05,complete_collected_validated,akibscomputer,bundles/read_noise_20260914/conv2/ours/sigma_3e-05/seed0/result.json,98.08,98.08,0.02,-0.06,rtx3080_torch2.5.1_cuda12.1,production/continuation_20260915/akibscomputer/05_RN_conv2_ours_sigma3em5_seed0,,
conv2,0.625,RN_conv2_ours_sigma1em4_seed0,paper_ready_results/bundles/table2_wide_ep/conv2/ours/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv2_ours_sigma1em4_seed0.json,ff6cf616b28dff26dc178f50bb7ceddaae3d34db851721af83309e56bcec7c16,30,10.0,ours,0,0.0001,complete_collected_validated,nom-cool-1,bundles/read_noise_20260914/conv2/ours/sigma_0.0001/seed0/result.json,98.02,98.00,0.08,0.02,rtx3090_torch2.5.1_cuda12.1,production/nom-cool-1,,
conv2,0.625,RN_conv2_ours_sigma3em4_seed0,paper_ready_results/bundles/table2_wide_ep/conv2/ours/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv2_ours_sigma3em4_seed0.json,dd213eaeb4477c7a05b8be66730da6a13d4019a3e694596f2608d7f3df129509,30,10.0,ours,0,0.0003,complete_collected_validated,local,bundles/read_noise_20260914/conv2/ours/sigma_0.0003/seed0/result.json,97.88,97.80,0.22,0.22,rtx3090_torch2.5.1_cuda12.1,production/continuation_20260915/local_tmux_v2/01_RN_conv2_ours_sigma3em4_seed0,,production/continuation_20260915/local/01_RN_conv2_ours_sigma3em4_seed0
conv2,0.625,RN_conv2_ours_sigma5em4_seed0,paper_ready_results/bundles/table2_wide_ep/conv2/ours/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv2_ours_sigma5em4_seed0.json,bafcc52b9f0d07d6ca5502603d16c16a8dce275b6c9e69da26db75135bc2f259,30,10.0,ours,0,0.0005,complete_collected_validated,local,bundles/read_noise_20260914/conv2/ours/sigma_0.0005/seed0/result.json,97.66,97.60,0.44,0.42,rtx3090_torch2.5.1_cuda12.1,production/continuation_20260915/local_tmux_v2/03_RN_conv2_ours_sigma5em4_seed0,,production/continuation_20260915/local/03_RN_conv2_ours_sigma5em4_seed0
conv2,0.0001171875,RN_conv2_legacy_sigma1em5_seed0,paper_ready_results/bundles/table2_wide_ep/conv2/legacy/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv2_legacy_sigma1em5_seed0.json,8a05fd6a5703cef67b3643e270221cc7d644311ec83400cee7cce6e0a0a8d5e4,30,0.03,legacy,0,1e-05,complete_collected_validated,akibscomputer,bundles/read_noise_20260914/conv2/legacy/sigma_1e-05/seed0/result.json,97.68,97.62,0.62,0.44,rtx3080_torch2.5.1_cuda12.1,production/continuation_20260915/akibscomputer/04_RN_conv2_legacy_sigma1em5_seed0,,
conv2,0.0001171875,RN_conv2_legacy_sigma3em5_seed0,paper_ready_results/bundles/table2_wide_ep/conv2/legacy/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv2_legacy_sigma3em5_seed0.json,3436935514d7acc38aeaab3614409ffec081b0d539be44d47b2ecae79d8311e5,30,0.03,legacy,0,3e-05,complete_collected_validated,akibscomputer,bundles/read_noise_20260914/conv2/legacy/sigma_3e-05/seed0/result.json,97.40,97.38,0.90,0.68,rtx3080_torch2.5.1_cuda12.1,production/continuation_20260915/akibscomputer/06_RN_conv2_legacy_sigma3em5_seed0,,
conv2,0.0001171875,RN_conv2_legacy_sigma1em4_seed0,paper_ready_results/bundles/table2_wide_ep/conv2/legacy/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv2_legacy_sigma1em4_seed0.json,8bd05dd6ff03aa9a6ee1128662756b475a08ee9e9cfcb0ec439f78ff1aeb078f,30,0.03,legacy,0,0.0001,complete_collected_validated,nom-cool-1,bundles/read_noise_20260914/conv2/legacy/sigma_0.0001/seed0/result.json,96.64,96.52,1.66,1.54,rtx3090_torch2.5.1_cuda12.1,production/nom-cool-1,,
conv2,0.0001171875,RN_conv2_legacy_sigma3em4_seed0,paper_ready_results/bundles/table2_wide_ep/conv2/legacy/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv2_legacy_sigma3em4_seed0.json,ba18e517c278ad189b8589f5df4308c7dc4fbeb836f5ac86f4084b27cb40bd87,30,0.03,legacy,0,0.0003,complete_collected_validated,local,bundles/read_noise_20260914/conv2/legacy/sigma_0.0003/seed0/result.json,95.98,95.94,2.32,2.12,rtx3090_torch2.5.1_cuda12.1,production/continuation_20260915/local_tmux_v2/02_RN_conv2_legacy_sigma3em4_seed0,,production/continuation_20260915/local/02_RN_conv2_legacy_sigma3em4_seed0
conv2,0.0001171875,RN_conv2_legacy_sigma5em4_seed0,paper_ready_results/bundles/table2_wide_ep/conv2/legacy/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv2_legacy_sigma5em4_seed0.json,41a6f9253e29ee1f46ed47f7374f61a462be0ae0a68049429471be62850e89bf,30,0.03,legacy,0,0.0005,complete_collected_validated,local,bundles/read_noise_20260914/conv2/legacy/sigma_0.0005/seed0/result.json,95.72,95.72,2.58,2.34,rtx3090_torch2.5.1_cuda12.1,production/continuation_20260915/local_tmux_v2/04_RN_conv2_legacy_sigma5em4_seed0,,production/continuation_20260915/local/04_RN_conv2_legacy_sigma5em4_seed0
conv3,0.046875,RN_conv3_ours_sigma1em5_seed0,paper_ready_results/bundles/table2_wide_ep/conv3/ours/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv3_ours_sigma1em5_seed0.json,eef6269ab373d9e442a20be0d061625c2271b7864bf8baff2135431a08f08a70,30,3.0,ours,0,1e-05,complete_collected_validated,trex,bundles/read_noise_20260914/conv3/ours/sigma_1e-05/seed0/result.json,98.38,98.26,0.34,0.38,rtx5090_torch2.11_cuda12.8,production/trex,,
conv3,0.046875,RN_conv3_ours_sigma3em5_seed0,paper_ready_results/bundles/table2_wide_ep/conv3/ours/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv3_ours_sigma3em5_seed0.json,8f05bc73c6b5988d0b38b4892e025914530949055a4967249801557660808c6d,30,3.0,ours,0,3e-05,complete_collected_validated,local,bundles/read_noise_20260914/conv3/ours/sigma_3e-05/seed0/result.json,97.88,97.82,0.84,0.82,rtx3090_torch2.5.1_cuda12.1,production/continuation_20260915/local_tmux_v2/05_RN_conv3_ours_sigma3em5_seed0,,production/continuation_20260915/local/05_RN_conv3_ours_sigma3em5_seed0
conv3,0.046875,RN_conv3_ours_sigma1em4_seed0,paper_ready_results/bundles/table2_wide_ep/conv3/ours/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv3_ours_sigma1em4_seed0.json,a80bfee6a9382c95fd5a3dd544b8e6932f57cd23654767cb7ac44f3ba7805a7b,30,3.0,ours,0,0.0001,complete_collected_validated,fifi,bundles/read_noise_20260914/conv3/ours/sigma_0.0001/seed0/result.json,97.62,97.62,1.10,1.02,rtx5090_torch2.11_cuda12.8,production/fifi,,
conv3,0.046875,RN_conv3_ours_sigma3em4_seed0,paper_ready_results/bundles/table2_wide_ep/conv3/ours/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv3_ours_sigma3em4_seed0.json,355eec70371a68f918ddecbbd4a816884388859b2e49a6a982e3fadd4718e93e,30,3.0,ours,0,0.0003,complete_collected_validated,akibscomputer,bundles/read_noise_20260914/conv3/ours/sigma_0.0003/seed0/result.json,97.12,96.82,1.60,1.82,rtx3080_torch2.5.1_cuda12.1,production/continuation_20260915/akibscomputer/07_RN_conv3_ours_sigma3em4_seed0,,
conv3,0.046875,RN_conv3_ours_sigma5em4_seed0,paper_ready_results/bundles/table2_wide_ep/conv3/ours/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv3_ours_sigma5em4_seed0.json,576a1bfb27f392740474a05978b16e5bdbd30631a2cedc5dee54453aba15e5a0,30,3.0,ours,0,0.0005,complete_collected_validated,loulou,bundles/read_noise_20260914/conv3/ours/sigma_0.0005/seed0/result.json,96.78,96.60,1.94,2.04,rtx5090_torch2.11_cuda12.8,production/loulou,,
conv3,2.44140625e-07,RN_conv3_legacy_sigma1em5_seed0,paper_ready_results/bundles/table2_wide_ep/conv3/legacy/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv3_legacy_sigma1em5_seed0.json,028f4495cb50f8a2e1debbc9f870ad853c32d454719b79652ad621443291b5ac,30,0.001,legacy,0,1e-05,complete_collected_validated,nom-cool-1,bundles/read_noise_20260914/conv3/legacy/sigma_1e-05/seed0/result.json,96.12,95.68,2.72,3.10,rtx3090_torch2.5.1_cuda12.1,production/continuation_20260915/nom-cool-1/02_RN_conv3_legacy_sigma1em5_seed0,trex,
conv3,2.44140625e-07,RN_conv3_legacy_sigma3em5_seed0,paper_ready_results/bundles/table2_wide_ep/conv3/legacy/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv3_legacy_sigma3em5_seed0.json,e0028d316765f32473e279c32abe685bde403ade58529b52bf16f7ba694f9008,30,0.001,legacy,0,3e-05,complete_collected_validated,trex,bundles/read_noise_20260914/conv3/legacy/sigma_3e-05/seed0/result.json,93.42,93.42,5.42,5.36,rtx5090_torch2.11_cuda12.8,production/deadline_20260915/trex,local,production/continuation_20260915/local/06_RN_conv3_legacy_sigma3em5_seed0; production/continuation_20260915/local_tmux_v2/06_RN_conv3_legacy_sigma3em5_seed0
conv3,2.44140625e-07,RN_conv3_legacy_sigma1em4_seed0,paper_ready_results/bundles/table2_wide_ep/conv3/legacy/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv3_legacy_sigma1em4_seed0.json,b1341ebcb5d65e396015458cb897714fcc55fef03d425a6987017ac5c4c3ee17,30,0.001,legacy,0,0.0001,complete_collected_validated,nom-cool-1,bundles/read_noise_20260914/conv3/legacy/sigma_0.0001/seed0/result.json,84.66,83.08,14.18,15.70,rtx3090_torch2.5.1_cuda12.1,production/continuation_20260915/nom-cool-1/03_RN_conv3_legacy_sigma1em4_seed0,fifi,
conv3,2.44140625e-07,RN_conv3_legacy_sigma3em4_seed0,paper_ready_results/bundles/table2_wide_ep/conv3/legacy/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv3_legacy_sigma3em4_seed0.json,e642eee511cd9cbf7e70d3f8dbe181824b6d5a6e9b44240bae4bfdfd3e9466d5,30,0.001,legacy,0,0.0003,complete_collected_validated,fifi,bundles/read_noise_20260914/conv3/legacy/sigma_0.0003/seed0/result.json,84.92,82.34,13.92,16.44,rtx5090_torch2.11_cuda12.8,production/deadline_20260915/fifi,akibscomputer,production/continuation_20260915/akibscomputer/08_RN_conv3_legacy_sigma3em4_seed0
conv3,2.44140625e-07,RN_conv3_legacy_sigma5em4_seed0,paper_ready_results/bundles/table2_wide_ep/conv3/legacy/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv3_legacy_sigma5em4_seed0.json,0c303665dc3ff0aab95c23794bed59f7fb7120257c579d70bc392a9a25239ccc,30,0.001,legacy,0,0.0005,complete_collected_validated,nom-cool-1,bundles/read_noise_20260914/conv3/legacy/sigma_0.0005/seed0/result.json,76.36,75.44,22.48,23.34,rtx3090_torch2.5.1_cuda12.1,production/continuation_20260915/nom-cool-1/04_RN_conv3_legacy_sigma5em4_seed0,loulou,
